estado;populacao;frota total;frota ativa;acidentes;obitos
PR;11580049;8084044;5135876;300203;2722
SC;7340302;5517191;4120320;432803;3055
RS;11448796;7430665;4607893;4726;5216
SP;46659731;30514321;18467063;484056;18421
MG;21362542;12046067;8189877;958038;8312
ES;4081856;2082445;1473405;102439;1157
MS;2841850;1712538;1169354;60375;665
RJ;17546538;7079020;4304852;66342;5822
GO;7210342;4199553;2835629;332649;3959
DF;3090810;1937451;1441701;16714;551
MT;3581743;2318657;1659325;17655;1619
RO;1796150;1062260;744272;36987;1671
AC;915433;307411;230138;14173;155
AM;4257636;971300;631319;3301;305
RR;645456;240188;171038;9137;796
PA;8792577;2206606;1430189;84551;3947
AP;881777;216186;152707;4045;38
MA;7163933;1855514;1229233;2500;2485
TO;1604418;754249;499422;17869;796
BA;14836183;4513888;3039714;63709;7210
PI;3299967;1294407;843529;36401;1221
CE;9246540;3406217;2409364;52313;3123
RN;3551788;1359250;975963;23341;1964
PB;4052756;1413463;974629;6669;2642
PE;9671760;3220476;2184203;53784;5561
AL;3350714;935150;689408;2979;1691
SE;2333395;838008;586461;3041;191
